LineId,Month,Day,Time,User,Compoent,Content,EventId,EventTemplate,ParameterList
124,Jun,2,10:01:01,localhost,kernel, hpet1: lost 1 rtc interrupts,E36,hpet1: lost <*> rtc interrupts,[]
125,Jun,2,10:01:01,localhost,systemd, Time has been changed,E32,Time has been changed,[]
126,Jun,2,10:01:01,localhost,systemd, Time has been changed,E32,Time has been changed,[]
127,Jun,2,10:01:01,localhost,systemd, Stopping Default.,E1,Stopping <*>,[]
128,Jun,2,10:01:01,localhost,systemd, Stopped target Default.,E2,Stopped target <*>,[]
129,Jun,2,10:01:01,localhost,systemd, Stopping Basic System.,E3,<*> Basic System.,[' Stopping']
130,Jun,2,10:01:01,localhost,systemd, Stopped target Basic System.,E4,<*> target Basic System.,[' Stopped']
131,Jun,2,10:01:01,localhost,systemd, Stopping Paths.,E1,Stopping <*>,[]
132,Jun,2,10:01:01,localhost,systemd, Stopped target Paths.,E2,Stopped target <*>,[]
133,Jun,2,10:01:01,localhost,systemd, Stopping Timers.,E1,Stopping <*>,[]
134,Jun,2,10:01:01,localhost,systemd, Stopped target Timers.,E2,Stopped target <*>,[]
135,Jun,2,10:01:01,localhost,systemd, Stopping Sockets.,E1,Stopping <*>,[]
136,Jun,2,10:01:01,localhost,systemd, Stopped target Sockets.,E2,Stopped target <*>,[]
137,Jun,2,10:01:01,localhost,systemd, Starting Shutdown.,E5,Starting <*>,[]
138,Jun,2,10:01:01,localhost,systemd, Reached target Shutdown.,E6,Reached target <*>,[]
139,Jun,2,10:01:01,localhost,systemd, Starting Exit the Session...,E7,Starting Exit the Session...,[]
140,Jun,2,10:01:01,localhost,systemd, Received SIGRTMIN+24 from PID 3792 (kill).,E8,Received <*> from PID <*> <*>,[]
141,Jun,2,10:03:53,localhost,systemd, Time has been changed,E32,Time has been changed,[]
142,Jun,2,10:11:10,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
143,Jun,2,10:11:10,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
144,Jun,2,10:11:10,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
145,Jun,2,10:11:10,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
146,Jun,2,10:11:10,localhost,fprintd, ** Message: entering main loop,E13,** Message: entering main loop,[]
147,Jun,2,10:11:40,localhost,fprintd," ** Message: No devices in use, exit",E14,"** Message: No devices in use, exit",[]
148,Jun,2,10:13:07,localhost,rtkit-daemon[563], Successfully made thread 3930 of process 3930 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
149,Jun,2,10:15:17,localhost,rtkit-daemon[563], Successfully made thread 3998 of process 3998 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
150,Jun,2,10:15:45,localhost,rtkit-daemon[563], Successfully made thread 4015 of process 4015 (/usr/bin/caja) owned by '1000' high priority at nice level -11.,E37,Successfully made thread <*> of process <*> <*> owned by '1000' high priority at nice level -11.,[]
151,Jun,2,10:16:07,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
152,Jun,2,10:16:07,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
153,Jun,2,10:16:07,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
154,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
155,Jun,2,10:16:07,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
